R,mass_balance_lower_bound,diffusion_delay_estimate,radial_shell_threshold
1.0,0.02,0.0217,0.024410370940280528
1.4117647058823528,0.028235294117647053,0.03301868512110726,0.03493221157639808
1.8235294117647058,0.036470588235294116,0.04677889273356401,0.0466830515735697
2.235294117647059,0.04470588235294118,0.06369273356401385,0.06092640017471007
2.6470588235294117,0.052941176470588235,0.08447231833910035,0.07928644427871823
3.0588235294117645,0.061176470588235284,0.10982975778546712,0.10354099492113504
3.4705882352941178,0.06941176470588235,0.1404771626297578,0.13535435305541882
3.8823529411764706,0.07764705882352942,0.17712664359861593,0.17602552711481786
4.294117647058823,0.08588235294117647,0.2204903114186851,0.2263382551941474
4.705882352941176,0.09411764705882351,0.27128027681660893,0.2865700534125226
5.117647058823529,0.10235294117647058,0.3302086505190311,0.35665460335185956
5.529411764705882,0.11058823529411764,0.39798754325259517,0.43643401027104106
5.9411764705882355,0.1188235294117647,0.47532906574394457,0.5259164699747644
6.352941176470588,0.12705882352941175,0.5629453287197231,0.625468246855829
6.764705882352941,0.13529411764705881,0.6615484429065744,0.7358971487853501
7.1764705882352935,0.14352941176470588,0.7718505190311418,0.8584151800283062
7.588235294117647,0.15176470588235294,0.8945636678200692,0.9944968799628208
8.0,0.16,1.0304,1.1456741627117255
