r,var_theory,var_sim,var_sim_smooth,tau_theory,ac_theory,ac_sim
0.01,0.004,0.003916465087144364,0.0038156569698278315,5.0,0.9900498337491681,0.9897181251983561
0.0117210229753348,0.0036946834287495457,0.0036140407351947673,0.003705431863331988,4.618354285936932,0.9892320268538249,0.9888467694852885
0.01373823795883263,0.003412671409669123,0.003585789767656833,0.0034966452153675966,4.265839262086404,0.9883474006220281,0.9886007739525416
0.01610262027560939,0.003152185126267965,0.0032901051432511893,0.0032811808507804134,3.940231407834956,0.987390563587403,0.9874324262937695
0.018873918221350976,0.00291158153759326,0.0029676476414332185,0.003026687216612723,3.6394769219915752,0.9863557009551756,0.9863587544159049
0.022122162910704492,0.002689343014599735,0.002822308865153761,0.0028017316713660127,3.3616787682496683,0.9852365433839326,0.9857670921750064
0.02592943797404667,0.0024840677675662466,0.002615238507511059,0.0025704321388918274,3.1050847094578082,0.9840263338201726,0.9843979538060144
0.03039195382313198,0.0022944610041794717,0.0022737490440106626,0.002321993335338224,2.8680762552243393,0.9827177923295467,0.98209217063625
0.035622478902624426,0.0021193267625134837,0.002076992454492951,0.002101585645130881,2.6491584531418546,0.9813030788810143,0.980626129917205
0.041753189365604,0.001957560367390998,0.001954015436889031,0.0019502335180007814,2.446950459238747,0.9797737540561234,0.9792367561134181
0.04893900918477494,0.0018081414625440973,0.001819692662620363,0.0018169779484856013,2.2601768281801213,0.9781207376759502,0.9777360244025436
0.057361525104486784,0.0016701275746241607,0.00167722574594741,0.0016562174191001268,2.0876594682802008,0.9763342653636808,0.9757901646554824
0.06723357536499334,0.001542648168465389,0.0014717338487326074,0.0015396024804904338,1.928310210581736,0.9744038430922936,0.9724458660840851
0.07880462815669913,0.001424899156104977,0.0014698478467912838,0.0014250721448574321,1.7811239451312209,0.9723181998053254,0.972355891607444
0.09236708571873861,0.0013161378249250675,0.0013336347390484047,0.0013366935604225353,1.6451722811563343,0.9700652382454601,0.9695346008665228
0.10826367338740546,0.0012156781529252788,0.0012065980954279174,0.0012305635211236248,1.5195976911565985,0.9676319841819582,0.9659218286981263
0.12689610031679222,0.001122886481576471,0.0011514577288945526,0.0011284485711334975,1.4036081019705886,0.965004534295261,0.9646587491718183
0.1487352107293511,0.001037177518961867,0.0010272898890780228,0.0010453057897795712,1.2964718987023338,0.9621680030570784,0.9604050856661523
0.17433288221999882,0.0009580106479949942,0.0009571697513661383,0.0009556890401245811,1.1975133099937427,0.9591064690387445,0.9573888684202133
0.20433597178569418,0.0008848865164281796,0.0008826074799295824,0.0008949474603707268,1.1061081455352244,0.9558029211916089,0.9537734226307354
0.2395026619987486,0.0008173438871427768,0.0008450651498164598,0.0008360055446259662,1.0216798589284708,0.9522392057728827,0.9512786243636085
0.2807216203941177,0.000754956728854039,0.0007803440041318566,0.0007769495743998972,0.9436959110675486,0.9483959747410243,0.9472053705128218
0.32903445623126676,0.0006973315288799953,0.0007054395692513753,0.0007118775841096927,0.871664411099994,0.9442526366188717,0.9415673673960049
0.38566204211634725,0.0006441048110243757,0.0006498491789458461,0.0006618399280335807,0.8051310137804696,0.9397873110228474,0.9364988825514888
0.4520353656360243,0.0005949408429174046,0.0006302310359035207,0.0006139469358871073,0.7436760536467557,0.9349767882852313,0.9334737008056642
0.5298316906283708,0.0005495295183533053,0.0005617605928119551,0.0005740658305606241,0.6869118979416315,0.9297964958561596,0.9258065975719314
0.6210169418915616,0.0005075844012671688,0.0005302058629663964,0.0005281750865451247,0.6344805015839611,0.9242204734649323,0.920966680102261
0.727895384398315,0.0004688409190133921,0.0004925588038570225,0.0004948277645862577,0.5860511487667401,0.9182213593482276,0.915137888073495
0.8531678524172805,0.00043305469354962186,0.0004617186269353542,0.0004579931655778482,0.5413183669370273,0.9117703902171478,0.9080587436749367
1.0,0.0004,0.000419702065941168,0.00043370758627256335,0.5,0.9048374180359595,0.8992693284358861
