compression,irrelevant_loss,policy_preserving_loss,false_compression_loss
0.0,0.08,0.02,0.05
0.012658227848101266,0.08252995571051734,0.020019227687870535,0.05
0.02531645569620253,0.08504978038719166,0.020076910751482133,0.05
0.0379746835443038,0.08754938356520894,0.0201730491908348,0.05
0.05063291139240506,0.09001875575535744,0.02030764300592854,0.05
0.06329113924050633,0.09244800852633955,0.02048069219676334,0.05
0.0759493670886076,0.09482741410231561,0.020692196763339207,0.05
0.08860759493670886,0.09714744431711408,0.020942156705656145,0.05
0.10126582278481013,0.09939880876911833,0.02123057202371415,0.05
0.11392405063291139,0.10157249202404169,0.02155744271751322,0.05
0.12658227848101267,0.10365978971661483,0.02192276878705336,0.05
0.13924050632911392,0.10565234340661836,0.022326550232334562,0.05
0.1518987341772152,0.10754217404968264,0.022768787053356835,0.05
0.16455696202531644,0.10932171394882274,0.02324947925012017,0.05
0.17721518987341772,0.11098383705876116,0.02376862682262458,0.05
0.18987341772151897,0.11252188752168658,0.024326229770870053,0.05
0.20253164556962025,0.11392970632017932,0.024922288094856596,0.05
0.21518987341772153,0.11520165594057334,0.0255568017945842,0.05
0.22784810126582278,0.11633264294799261,0.026229770870052876,0.05
0.24050632911392406,0.11731813838266103,0.02694119532126262,0.05
0.25316455696202533,0.1181541958958108,0.027691075148213427,0.05
0.26582278481012656,0.11883746755256497,0.0284794103509053,0.05
0.27848101265822783,0.11936521723851257,0.029306200929338243,0.05
0.2911392405063291,0.11973533161629094,0.030171446883512257,0.05
0.3037974683544304,0.1199463285882999,0.031075148213427335,0.05
0.31645569620253167,0.11999736323165985,0.03201730491908348,0.05
0.3291139240506329,0.11988823118164738,0.03299791700048069,0.05
0.34177215189873417,0.11961936945005974,0.03401698445761897,0.05
0.35443037974683544,0.11919185467523113,0.03507450729049832,0.05013966180669897
0.3670886075949367,0.11860739881070853,0.036170485499118735,0.051385891997119126
0.37974683544303794,0.11786834226985113,0.03730491908348021,0.053556127686244015
0.3924050632911392,0.11697764455380608,0.03847780804358276,0.05649737828216505
0.4050632911392405,0.11593887240038919,0.03968915237942637,0.06012963314686774
0.4177215189873418,0.1147561855013286,0.04093895209101106,0.06440003043257334
0.43037974683544306,0.11343431984506483,0.042227207178336806,0.0692698047172864
0.4430379746835443,0.11197856875181052,0.04355391764140362,0.0747087318879364
0.45569620253164556,0.11039476167681324,0.04491908348021151,0.08069226849972246
0.46835443037974683,0.10868924086670241,0.04632270469476045,0.08719989542132431
0.4810126582278481,0.1068688359623984,0.047764781285050475,0.09421407821047195
0.49367088607594933,0.10494083665028463,0.04924531325108156,0.10171957471762
0.5063291139240507,0.10291296347115911,0.05076430059285371,0.1097029524312301
0.5189873417721519,0.10079333690385942,0.05232174331036693,0.11815223961655011
0.5316455696202531,0.09859044484736283,0.05391764140362121,0.12705666560587445
0.5443037974683544,0.09631310863157805,0.05555199487261657,0.13640646265547468
0.5569620253164557,0.09397044769293567,0.05722480371735297,0.14619271160819775
0.569620253164557,0.09157184305623119,0.05893606793783049,0.1564072195242619
0.5822784810126582,0.08912689976895602,0.06068578753404903,0.16704242115527423
0.5949367088607594,0.08664540843854442,0.062473962506008646,0.1780912985414001
0.6075949367088608,0.08413730602655857,0.06430059285370934,0.18954731461463037
0.620253164556962,0.08161263605680888,0.0661656785771511,0.2014043577866499
0.6329113924050633,0.07908150839675251,0.06806921967633392,0.2136566952652278
0.6455696202531646,0.07655405877322398,0.07001121615125781,0.2262989333883904
0.6582278481012658,0.07404040818461313,0.07199166800192276,0.2393259836610674
0.6708860759493671,0.0715506223720224,0.0740105752283288,0.25273303347017206
0.6835443037974683,0.06909467151169815,0.07606793783047588,0.2665155206717334
0.6962025316455696,0.06668239029014472,0.07816375580836403,0.28066911140846273
0.7088607594936709,0.06432343852179792,0.08029802916199326,0.2951896806423562
0.7215189873417721,0.06202726246696184,0.08247075789136356,0.3100732949846906
0.7341772151898734,0.059803057004908164,0.08468194199647493,0.32531619748224183
0.7468354430379747,0.05765972881361406,0.08693158147732735,0.340914794078928
0.7594936708860759,0.055605860703581866,0.08921967633392083,0.35686564152017247
0.7721518987341772,0.05364967724856415,0.09154622656625541,0.37316543650587464
0.7848101265822784,0.05179901185082311,0.09391123217433103,0.3898110059291014
0.7974683544303798,0.050061275372809286,0.09631469315814774,0.40679929806303683
0.810126582278481,0.04844342646087203,0.0987566095177055,0.4241273745795649
0.8227848101265822,0.046951943679838286,0.10123698125300432,0.4417924033000587
0.8354430379746836,0.04559279957004463,0.10375580836404423,0.45979165159319785
0.8481012658227848,0.04437143673071,0.10631309085082519,0.4781224803465372
0.8607594936708861,0.04329274602542081,0.10890882871334723,0.4967823384485133
0.8734177215189873,0.04236104699700388,0.11154302195161031,0.515768757725972
0.8860759493670886,0.04158007057021382,0.11421567056561448,0.535079348289409
0.8987341772151899,0.04095294411150113,0.11692677455535973,0.5547117942441505
0.9113924050632911,0.04048217890568822,0.11967633392084602,0.5746638497308549
0.9240506329113924,0.04016966009970171,0.1224643486620734,0.5949333352631323
0.9367088607594937,0.04001663915363114,0.1252908187790418,0.6155181343338697
0.9493670886075949,0.040023728829343026,0.1281557442717513,0.6364161902651345
0.9620253164556962,0.04019090073671801,0.1310591251402019,0.6576255032793529
0.9746835443037974,0.040517485447337166,0.13400096138439352,0.6791441277719324
0.9873417721518987,0.04100217517516214,0.1369812530043262,0.7009701697676445
1.0,0.04164302901347446,0.13999999999999999,0.7231017845449491
